"CHAR__C","EXT_ID__C","NAME"
"#","#","#"
")",")",")"
"/","/","/"
"8",":eight:",":eight:"
"1",":repeat_one:",":repeat_one:"
"0",":zero:",":zero:"
"!",":grey_exclamation:",":grey_exclamation:"
"!",":heart_exclamation:",":heart_exclamation:"
"4",":four:",":four:"
"!",":exclamation:",":exclamation:"
"u","<:uuu:882671601005494303>","<:uuu:882671601005494303>"
"t",":regional_indicator_t:",":regional_indicator_t:"
"s","<:sss:882271624294989834>","<:sss:882271624294989834>"
"p",":parking:",":parking:"
"o","<:o:887091168406569040>","<:o:887091168406569040>"
"m",":m:",":m:"
"m",":regional_indicator_m:",":regional_indicator_m:"
"m","<:m:887091168557547530>","<:m:887091168557547530>"
"k",":regional_indicator_k:",":regional_indicator_k:"
"j","<:j:887091168628854804>","<:j:887091168628854804>"
"i",":regional_indicator_i:",":regional_indicator_i:"
"g","<:G_:881974742326857828>","<:G_:881974742326857828>"
"f",":regional_indicator_f:",":regional_indicator_f:"
"f","<:f:887091168591085568>","<:f:887091168591085568>"
"c","<:c:887091168289124406>","<:c:887091168289124406>"
"b",":b:",":b:"
"9",":nine:",":nine:"
"?",":grey_question:",":grey_question:"
"+",":heavy_plus_sign:",":heavy_plus_sign:"
"l",":regional_indicator_l:",":regional_indicator_l:"
"l","<:l:887091168570114078>","<:l:887091168570114078>"
"j",":regional_indicator_j:",":regional_indicator_j:"
"i","<:I_:881975861333606440>","<:I_:881975861333606440>"
"h","<:h:887091168259743746>","<:h:887091168259743746>"
"g",":regional_indicator_g:",":regional_indicator_g:"
"e",":e_mail:",":e_mail:"
"c","<:ccc:882670792582762506>","<:ccc:882670792582762506>"
"c",":copyright:",":copyright:"
"a",":regional_indicator_a:",":regional_indicator_a:"
"a","<:a:887091084554039406>","<:a:887091084554039406>"
"_","_","_"
"-","-","-"
"(","(","("
":",":",":"
"<","<","<"
">",">",">"
"2",":two:",":two:"
"1",":one:",":one:"
".",".","."
"@","@","@"
"7",":seven:",":seven:"
"z",":zzz:",":zzz:"
"z",":regional_indicator_z:",":regional_indicator_z:"
"y",":regional_indicator_y:",":regional_indicator_y:"
"x",":x:",":x:"
"x",":heavy_multiplication_x:",":heavy_multiplication_x:"
"x","<:x:887091168507211836>","<:x:887091168507211836>"
"u",":regional_indicator_u:",":regional_indicator_u:"
"s","<:s:887091168603701298>","<:s:887091168603701298>"
"r",":regional_indicator_r:",":regional_indicator_r:"
"p",":regional_indicator_p:",":regional_indicator_p:"
"n",":regional_indicator_n:",":regional_indicator_n:"
"n","<:n:887091168247156827>","<:n:887091168247156827>"
"k","<:k:887091168784048169>","<:k:887091168784048169>"
"i","<:i:887091168293322782>","<:i:887091168293322782>"
"h","<:hhh:882271553939722281>","<:hhh:882271553939722281>"
"h",":regional_indicator_h:",":regional_indicator_h:"
"g","<:g:887091168536567899>","<:g:887091168536567899>"
"d","<:d:887091168637235200>","<:d:887091168637235200>"
"c",":regional_indicator_c:",":regional_indicator_c:"
"a",":a:",":a:"
"x",":regional_indicator_x:",":regional_indicator_x:"
"x",":negative_squared_cross_mark:",":negative_squared_cross_mark:"
"w",":regional_indicator_w:",":regional_indicator_w:"
"w","<:w:887091168691757076>","<:w:887091168691757076>"
"v","<:v:887091168440102982>","<:v:887091168440102982>"
"u","<:u:887091168385572894>","<:u:887091168385572894>"
"r","<:r:887091168213631048>","<:r:887091168213631048>"
"q",":regional_indicator_q:",":regional_indicator_q:"
"p","<:p:887091168435920946>","<:p:887091168435920946>"
"o",":o:",":o:"
"o",":o2:",":o2:"
"e",":regional_indicator_e:",":regional_indicator_e:"
"6",":six:",":six:"
"5",":five:",":five:"
"3",":three:",":three:"
"'","'","'"
",",",",","
"?",":question:",":question:"
"z","<:z:887091168373006368>","<:z:887091168373006368>"
"y","<:y:887091168746278912>","<:y:887091168746278912>"
"v",":regional_indicator_v:",":regional_indicator_v:"
"t","<:10:881976704069926943>","<:10:881976704069926943>"
"t","<:t:887091168356216892>","<:t:887091168356216892>"
"s",":regional_indicator_s:",":regional_indicator_s:"
"r","<:R_:881975539169120267>","<:R_:881975539169120267>"
"q","<:q:887091168511418448>","<:q:887091168511418448>"
"o",":regional_indicator_o:",":regional_indicator_o:"
"e","<:e:887091168549163058>","<:e:887091168549163058>"
"d",":regional_indicator_d:",":regional_indicator_d:"
"b",":regional_indicator_b:",":regional_indicator_b:"
"b","<:b:887091134940192778>","<:b:887091134940192778>"
